
Transactions
User,Olivier Brunel,ab12c34d-5e67-8901-2f34-5a6b78901c2d
Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-01-21 16:59:43 UTC,Staking Income,SOL,0.000002856,EUR,84.66,0.00,0.00,0,
2024-01-20 19:22:06 UTC,Staking Income,SOL,0.000000122,EUR,84.58,0.00,0.00,0,
2024-01-20 08:40:23 UTC,Staking Income,SOL,0.000016447,EUR,83.90,0.00,0.00,0,
2024-01-17 17:43:14 UTC,Staking Income,SOL,0.000000055,EUR,90.61,0.00,0.00,0,
2024-01-16 16:52:24 UTC,Staking Income,SOL,0.000016466,EUR,89.41,0.00,0.00,0,
2024-01-15 17:03:54 UTC,Staking Income,SOL,0.000000052,EUR,86.43,0.00,0.00,0,
2024-01-15 02:42:24 UTC,Staking Income,SOL,0.00001634,EUR,87.51,0.00,0.00,0,
2024-01-14 13:26:50 UTC,Staking Income,SOL,0.000016483,EUR,88.06,0.00,0.00,0,
2024-01-10 19:17:39 UTC,Staking Income,SOL,0.000016554,EUR,88.95,0.00,0.00,0,
2024-01-07 17:49:14 UTC,Staking Income,SOL,0.000016398,EUR,86.37,0.00,0.00,0,
2024-01-05 17:00:52 UTC,Staking Income,SOL,0.000016261,EUR,88.16,0.00,0.00,0,
2024-01-05 02:18:59 UTC,Receive,USDC,0.016895,EUR,0.91,0.02,0.02,0,Received 0.016895 USDC from 
2024-01-04 17:23:35 UTC,Staking Income,SOL,0.000016028,EUR,94.56,0.00,0.00,0,
2024-01-01 18:02:04 UTC,Staking Income,SOL,0.000015966,EUR,97.23,0.00,0.00,0,
2023-12-30 00:35:01 UTC,Staking Income,SOL,0.000015896,EUR,95.78,0.00,0.00,0,
2023-12-29 03:13:40 UTC,Staking Income,SOL,0.000015942,EUR,95.05,0.00,0.00,0,
2023-12-29 02:38:57 UTC,Staking Income,SOL,0.000016054,EUR,94.35,0.00,0.00,0,
2023-12-24 19:20:30 UTC,Staking Income,SOL,0.000000103,EUR,105.59,0.00,0.00,0,
2023-12-24 19:02:38 UTC,Staking Income,SOL,0.000016193,EUR,105.18,0.00,0.00,0,
2023-12-20 19:16:09 UTC,Staking Income,SOL,0.000015947,EUR,75.35,0.00,0.00,0,
2023-12-18 21:48:54 UTC,Staking Income,SOL,0.000015956,EUR,69.04,0.00,0.00,0,
2023-12-16 19:15:01 UTC,Staking Income,SOL,0.000015626,EUR,68.34,0.00,0.00,0,
2023-12-13 17:38:18 UTC,Staking Income,SOL,0.000015811,EUR,62.31,0.00,0.00,0,
2023-12-11 17:41:13 UTC,Staking Income,SOL,0.000015902,EUR,65.06,0.00,0.00,0,
2023-12-09 17:32:09 UTC,Staking Income,SOL,0.000016032,EUR,68.37,0.00,0.00,0,
2023-12-07 17:03:27 UTC,Staking Income,SOL,0.000016058,EUR,60.88,0.00,0.00,0,
2023-12-05 05:23:54 UTC,Receive,USDC,0.016104,EUR,0.92,0.01,0.01,0,Received 0.016104 USDC from 
2023-12-05 03:04:09 UTC,Staking Income,SOL,0.000016041,EUR,55.57,0.00,0.00,0,
2023-12-02 23:57:56 UTC,Staking Income,SOL,0.000015786,EUR,58.62,0.00,0.00,0,
2023-11-30 19:06:23 UTC,Staking Income,SOL,0.000015894,EUR,54.61,0.00,0.00,0,
2023-11-30 16:20:28 UTC,Staking Income,SOL,0.000015797,EUR,54.40,0.00,0.00,0,
2023-11-30 07:52:08 UTC,Staking Income,SOL,0.000015958,EUR,54.80,0.00,0.00,0,
2023-11-23 21:32:22 UTC,Staking Income,SOL,0.000015956,EUR,51.92,0.00,0.00,0,
2023-11-22 22:44:01 UTC,Staking Income,SOL,0.00001602,EUR,53.19,0.00,0.00,0,
2023-11-21 22:22:26 UTC,Staking Income,SOL,0.000015932,EUR,48.94,0.00,0.00,0,
2023-11-17 23:21:43 UTC,Staking Income,SOL,0.000015666,EUR,53.78,0.00,0.00,0,
2023-11-15 22:21:49 UTC,Staking Income,SOL,0.000015536,EUR,60.04,0.00,0.00,0,
2023-11-15 00:43:01 UTC,Staking Income,SOL,0.000015804,EUR,52.58,0.00,0.00,0,
2023-11-10 19:29:47 UTC,Staking Income,SOL,0.000015835,EUR,50.70,0.00,0.00,0,
2023-11-08 20:17:48 UTC,Staking Income,SOL,0.000015411,EUR,40.39,0.00,0.00,0,
2023-11-06 18:56:44 UTC,Staking Income,SOL,0.000015826,EUR,37.54,0.00,0.00,0,
2023-11-04 18:53:05 UTC,Receive,USDC,0.016514,EUR,0.93,0.02,0.02,0,Received 0.016514 USDC from 
2023-11-03 21:15:02 UTC,Staking Income,SOL,0.000015794,EUR,36.66,0.00,0.00,0,
2023-11-03 13:51:04 UTC,Staking Income,SOL,0.000015238,EUR,36.57,0.00,0.00,0,
2023-11-02 23:19:28 UTC,Staking Income,SOL,0.000015126,EUR,37.76,0.00,0.00,0,
2023-11-02 22:53:10 UTC,Staking Income,SOL,0.000015601,EUR,37.53,0.00,0.00,0,
2023-10-27 18:17:01 UTC,Staking Income,SOL,0.000015832,EUR,30.05,0.00,0.00,0,
2023-10-26 18:43:28 UTC,Staking Income,SOL,0.000015883,EUR,29.82,0.00,0.00,0,
2023-10-25 22:35:24 UTC,Staking Income,SOL,0.000016009,EUR,30.50,0.00,0.00,0,
2023-10-20 18:08:18 UTC,Staking Income,SOL,0.000015683,EUR,25.38,0.00,0.00,0,
2023-10-20 05:09:38 UTC,Staking Income,SOL,0.000015929,EUR,24.74,0.00,0.00,0,
2023-10-17 20:07:08 UTC,Staking Income,SOL,0.00001607,EUR,22.79,0.00,0.00,0,
2023-10-14 19:53:19 UTC,Staking Income,SOL,0.000016301,EUR,20.96,0.00,0.00,0,
2023-10-13 03:33:58 UTC,Staking Income,SOL,0.000016506,EUR,20.11,0.00,0.00,0,
2023-10-13 03:20:39 UTC,Staking Income,SOL,0.000016507,EUR,20.14,0.00,0.00,0,
2023-10-12 01:02:30 UTC,Staking Income,SOL,0.000016533,EUR,20.55,0.00,0.00,0,
2023-10-07 00:57:06 UTC,Staking Income,SOL,0.000016086,EUR,22.25,0.00,0.00,0,
2023-10-04 18:46:17 UTC,Receive,USDC,0.015638,EUR,0.95,0.01,0.01,0,Received 0.015638 USDC from 
2023-10-04 18:20:36 UTC,Staking Income,SOL,0.000016134,EUR,21.94,0.00,0.00,0,
2023-10-02 18:15:28 UTC,Staking Income,SOL,0.000015796,EUR,22.69,0.00,0.00,0,
